"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP","30","Greedy","68","Greedy"
"MCTS LP","28","Greedy","53","Greedy"
"MCTS LP","34","Greedy","61","Greedy"
"MCTS LP","24","Greedy","64","Greedy"
"MCTS LP","35","Greedy","53","Greedy"
"MCTS LP","23","Greedy","58","Greedy"
"MCTS LP","25","Greedy","62","Greedy"
"MCTS LP","31","Greedy","55","Greedy"
"MCTS LP","29","Greedy","58","Greedy"
"MCTS LP","21","Greedy","65","Greedy"
"MCTS LP","35","Greedy","52","Greedy"
"MCTS LP","31","Greedy","56","Greedy"
"MCTS LP","17","Greedy","72","Greedy"
"MCTS LP","35","Greedy","63","Greedy"
"MCTS LP","30","Greedy","58","Greedy"
"MCTS LP","44","Greedy","54","Greedy"
"MCTS LP","37","Greedy","59","Greedy"
"MCTS LP","22","Greedy","58","Greedy"
"MCTS LP","37","Greedy","39","Greedy"
"MCTS LP","19","Greedy","71","Greedy"
"MCTS LP","18","Greedy","65","Greedy"
"MCTS LP","42","Greedy","54","Greedy"
"MCTS LP","37","Greedy","41","Greedy"
"MCTS LP","35","Greedy","60","Greedy"
"MCTS LP","28","Greedy","64","Greedy"
"MCTS LP","44","Greedy","51","Greedy"
"MCTS LP","20","Greedy","54","Greedy"
"MCTS LP","41","Greedy","54","Greedy"
"MCTS LP","44","Greedy","56","Greedy"
"MCTS LP","30","Greedy","66","Greedy"
"MCTS LP","17","Greedy","73","Greedy"
"MCTS LP","21","Greedy","60","Greedy"
"MCTS LP","41","Greedy","54","Greedy"
"MCTS LP","28","Greedy","53","Greedy"
"MCTS LP","26","Greedy","67","Greedy"
"MCTS LP","36","Greedy","61","Greedy"
"MCTS LP","20","Greedy","67","Greedy"
"MCTS LP","38","Greedy","57","Greedy"
"MCTS LP","37","Greedy","58","Greedy"
"MCTS LP","41","Greedy","52","Greedy"
"MCTS LP","39","Greedy","53","Greedy"
"MCTS LP","39","Greedy","58","Greedy"
"MCTS LP","41","Greedy","42","Greedy"
"MCTS LP","32","Greedy","65","Greedy"
"MCTS LP","32","Greedy","56","Greedy"
"MCTS LP","24","Greedy","70","Greedy"
"MCTS LP","35","Greedy","57","Greedy"
"MCTS LP","37","Greedy","49","Greedy"
"MCTS LP","32","Greedy","62","Greedy"
"MCTS LP","39","Greedy","61","Greedy"
"MCTS LP","37","Greedy","54","Greedy"
"MCTS LP","31","Greedy","50","Greedy"
"MCTS LP","22","Greedy","59","Greedy"
"MCTS LP","34","Greedy","61","Greedy"
"MCTS LP","22","Greedy","55","Greedy"
"MCTS LP","12","Greedy","79","Greedy"
"MCTS LP","38","Greedy","60","Greedy"
"MCTS LP","22","Greedy","56","Greedy"
"MCTS LP","24","Greedy","46","Greedy"
"MCTS LP","21","Greedy","45","Greedy"
"MCTS LP","29","Greedy","56","Greedy"
"MCTS LP","32","Greedy","62","Greedy"
"MCTS LP","34","Greedy","53","Greedy"
"MCTS LP","33","Greedy","51","Greedy"
"MCTS LP","36","Greedy","58","Greedy"
"MCTS LP","37","Greedy","58","Greedy"
"MCTS LP","32","Greedy","58","Greedy"
"MCTS LP","31","Greedy","49","Greedy"
"MCTS LP","18","Greedy","71","Greedy"
"MCTS LP","42","Greedy","55","Greedy"
"MCTS LP","31","Greedy","57","Greedy"
"MCTS LP","27","Greedy","65","Greedy"
"MCTS LP","16","Greedy","68","Greedy"
"MCTS LP","27","Greedy","58","Greedy"
"MCTS LP","20","Greedy","53","Greedy"
"MCTS LP","33","Greedy","60","Greedy"
"MCTS LP","34","Greedy","52","Greedy"
"MCTS LP","29","Greedy","58","Greedy"
"MCTS LP","31","Greedy","61","Greedy"
"MCTS LP","22","Greedy","71","Greedy"
"MCTS LP","37","Greedy","58","Greedy"
"MCTS LP","25","Greedy","70","Greedy"
"MCTS LP","39","Greedy","55","Greedy"
"MCTS LP","30","Greedy","56","Greedy"
"MCTS LP","18","Greedy","69","Greedy"
"MCTS LP","46","Greedy","51","Greedy"
"MCTS LP","25","Greedy","68","Greedy"
"MCTS LP","27","Greedy","43","Greedy"
"MCTS LP","36","Greedy","56","Greedy"
"MCTS LP","29","Greedy","56","Greedy"
"MCTS LP","38","Greedy","56","Greedy"
"MCTS LP","39","Greedy","57","Greedy"
