"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","47","Tie"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","31","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","44","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","49","MCTS LP Baseline (2)","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","33","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","33","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","42","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","49","MCTS LP Baseline (2)","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","55","MCTS LP Baseline (2)","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","50","MCTS LP Baseline (2)","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","33","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","52","MCTS LP Baseline (2)","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","32","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","50","MCTS LP Baseline (2)","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","31","MCTS LP Baseline (2)","36","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","46","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","26","MCTS LP Baseline (2)","65","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","29","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","51","MCTS LP Baseline (2)","48","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","48","Tie"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","42","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","28","MCTS LP Baseline (2)","67","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","41","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","38","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","49","MCTS LP Baseline (2)","49","Tie"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","30","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","50","MCTS LP Baseline (2)","49","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","61","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","32","MCTS LP Baseline (2)","64","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","50","MCTS LP Baseline (2)","50","Tie"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","49","MCTS LP Baseline (2)","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","63","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","31","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","51","MCTS LP Baseline (2)","39","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","54","MCTS LP Baseline (2)","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","33","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","26","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","51","MCTS LP Baseline (2)","45","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","29","MCTS LP Baseline (2)","61","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","52","MCTS LP Baseline (2)","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","49","MCTS LP Baseline (2)","49","Tie"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","48","Tie"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","32","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","45","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","52","MCTS LP Baseline (2)","39","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","46","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","48","MCTS LP Baseline (2)","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","50","MCTS LP Baseline (2)","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","35","MCTS LP Baseline (2)","63","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","40","MCTS LP Baseline (2)","44","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","26","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","47","MCTS LP Baseline (2)","45","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","32","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","41","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","64","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","37","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","28","MCTS LP Baseline (2)","71","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","53","MCTS LP Baseline (2)","34","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","31","MCTS LP Baseline (2)","65","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","33","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","44","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","30","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","43","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","42","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","26","MCTS LP Baseline (2)","67","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","38","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","34","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","39","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Fish On New Tile Movement","36","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
