"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy Baseline 1","41","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","59","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MERT 2","48","Tie"
"Greedy Baseline 1","58","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","53","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","35","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","46","Tie"
"Greedy Baseline 1","48","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","56","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MERT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","30","MCTS HP MERT 2","68","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","53","MCTS HP MERT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MERT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MERT 2","44","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","43","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","56","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","49","Tie"
"Greedy Baseline 1","44","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","55","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","45","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","35","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MERT 2","48","Tie"
"Greedy Baseline 1","38","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","48","Tie"
"Greedy Baseline 1","41","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","51","MCTS HP MERT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","49","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","55","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","34","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","35","MCTS HP MERT 2","45","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","48","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","51","MCTS HP MERT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","40","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","51","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","58","MCTS HP MERT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","58","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","45","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","45","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","55","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","49","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","56","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","59","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","36","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","53","MCTS HP MERT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","56","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MERT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","63","MCTS HP MERT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","58","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","47","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","36","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","46","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","57","MCTS HP MERT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","52","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","38","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","49","Tie"
"Greedy Baseline 1","45","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","52","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","56","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","39","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","45","MCTS HP MERT 2"
"Greedy Baseline 1","57","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","50","MCTS HP MERT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","59","MCTS HP MERT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","51","MCTS HP MERT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MERT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","44","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MERT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MERT 2","47","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","39","MCTS HP MERT 2","56","MCTS HP MERT 2"
"Greedy Baseline 1","57","MCTS HP MERT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","52","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","41","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","54","MCTS HP MERT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","55","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","36","MCTS HP MERT 2","58","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","56","MCTS HP MERT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","47","MCTS HP MERT 2"
"Greedy Baseline 1","38","MCTS HP MERT 2","54","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","46","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","53","MCTS HP MERT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MERT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MERT 2","48","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MERT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MERT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MERT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MERT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","52","MCTS HP MERT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","53","MCTS HP MERT 2"
"Greedy Baseline 1","49","MCTS HP MERT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","63","MCTS HP MERT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MERT 2","48","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","48","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","51","MCTS HP MERT 2"
"Greedy Baseline 1","47","MCTS HP MERT 2","50","MCTS HP MERT 2"
"Greedy Baseline 1","59","MCTS HP MERT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MERT 2","56","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","46","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","44","MCTS HP MERT 2"
"Greedy Baseline 1","45","MCTS HP MERT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MERT 2","49","MCTS HP MERT 2"
"Greedy Baseline 1","42","MCTS HP MERT 2","55","MCTS HP MERT 2"
"Greedy Baseline 1","43","MCTS HP MERT 2","49","MCTS HP MERT 2"
