"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","45","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","45","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","46","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","46","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","61","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","63","Greedy","27","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","42","Greedy","28","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","42","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","42","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","33","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","60","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","55","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","61","Greedy","33","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","46","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","33","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","61","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","44","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","58","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","41","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","64","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","44","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","61","Greedy","33","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","66","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","62","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","60","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","45","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","29","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","46","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","44","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","55","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","64","Greedy","30","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","58","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","41","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","46","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","42","Greedy","56","Greedy"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","47","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","66","Greedy","33","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","43","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","67","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","44","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","46","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","61","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","40","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","55","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","73","Greedy","24","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","62","Greedy","30","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","58","Greedy","35","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","45","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","70","Greedy","26","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","60","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","41","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","43","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","54","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","67","Greedy","30","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","55","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","43","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","53","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","55","Greedy","45","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","36","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","60","Greedy","28","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","50","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","59","Greedy","31","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","51","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","38","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","37","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","39","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","48","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","56","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","57","Greedy","38","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","47","Greedy","41","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","44","Greedy","40","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","52","Greedy","42","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","46","Greedy","43","MCTS Min Fish For Opponent Penguins Placement"
"MCTS Min Fish For Opponent Penguins Placement","49","Greedy","34","MCTS Min Fish For Opponent Penguins Placement"
